# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "--primary" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap_primary/SNF2_4_Aligned_counts.txt" "./databases/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_4_Aligned.sortedByCoord.out.bam
YAL020C	chrI	113614	114615	-	1002	1162
YAL019W-A	chrI	114250	114819	+	570	542
YAL019W	chrI	114919	118314	+	3396	720
YAL018C	chrI	118564	119541	-	978	6
YAL017W	chrI	120225	124295	+	4071	2070
YAL016C-B	chrI	124307	124492	-	186	151
YAL016C-A	chrI	124755	125069	-	315	220
YAL016W	chrI	124879	126786	+	1908	2738
YAL015C	chrI	126903	128102	-	1200	823
YAL014C	chrI	128252	129019	-	768	1645
YAL013W	chrI	129270	130487	+	1218	1987
YAL011W	chrI	132199	134076	+	1878	711
YAL010C	chrI	134184	135665	-	1482	569
YAL009W	chrI	135854	136633	+	780	566
YAL008W	chrI	136914	137510	+	597	714
YAL007C	chrI	137698	138345	-	648	1620
YAL005C	chrI	139503	141431	-	1929	5624
YAL004W	chrI	140760	141407	+	648	590
YAL003W	chrI	142174	142253	+	80	714
YAL003W	chrI	142620	143160	+	541	6896
YAL002W	chrI	143707	147531	+	3825	779
YAL001C	chrI	147594	151006	-	3413	1044
YAL001C	chrI	151097	151166	-	70	6
YAR002W	chrI	152257	153876	+	1620	1068
YAR002C-A	chrI	154065	154724	-	660	2657
YAR003W	chrI	155005	156285	+	1281	770
YAR007C	chrI	156754	158619	-	1866	1283
YAR008W	chrI	158966	159793	+	828	477
YAR009C	chrI	160597	164187	-	3591	12
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	1326
YAR015W	chrI	169375	170295	+	921	1317
YAR018C	chrI	170396	171703	-	1308	605
YAR019C	chrI	172211	175135	-	2925	537
YAR019W-A	chrI	174998	175330	+	333	16
YAR020C	chrI	176856	177023	-	168	62
YAR023C	chrI	179281	179820	-	540	128
YAR027W	chrI	183770	184477	+	708	1293
YAR028W	chrI	184892	185596	+	705	500
YAR029W	chrI	186321	186545	+	225	54
YAR030C	chrI	186512	186853	-	342	47
YAR031W	chrI	186836	187732	+	897	99
YAR033W	chrI	188107	188811	+	705	136
YAR035W	chrI	190193	192256	+	2064	580
YAR035C-A	chrI	192337	192417	-	81	8
YAR042W	chrI	192619	196185	+	3567	2038
YAR047C	chrI	201467	201787	-	321	10
YAR050W	chrI	203403	208016	+	4614	196
YAR053W	chrI	208367	208663	+	297	18
YAR060C	chrI	217157	217492	-	336	0
YAR064W	chrI	220198	220497	+	300	17
YAR066W	chrI	221049	221660	+	612	1
YAR068W	chrI	222406	222891	+	486	1
YAR069C	chrI	224011	224304	-	294	0
YAR070C	chrI	224563	224862	-	300	0
YAR071W	chrI	225460	226863	+	1404	23
YAR073W	chrI	227742	228953	+	1212	11
YAR075W	chrI	228844	229317	+	474	12
Q0010	chrM	3952	4338	+	387	0
Q0017	chrM	4254	4415	+	162	0
Q0032	chrM	11667	11957	+	291	0
Q0045	chrM	13818	13986	+	169	0
Q0045	chrM	16435	16470	+	36	0
Q0045	chrM	18954	18991	+	38	0
Q0045	chrM	20508	20984	+	477	0
Q0045	chrM	21995	22246	+	252	3
Q0045	chrM	23612	23746	+	135	5
Q0045	chrM	25318	25342	+	25	0
Q0045	chrM	26229	26701	+	473	0
Q0070	chrM	13818	13986	+	169	0
Q0070	chrM	16435	16470	+	36	0
Q0070	chrM	18954	18991	+	38	0
Q0070	chrM	20508	20984	+	477	0
Q0070	chrM	21995	23167	+	1173	3
Q0065	chrM	13818	13986	+	169	0
Q0065	chrM	16435	16470	+	36	0
Q0065	chrM	18954	18991	+	38	0
Q0065	chrM	20508	21935	+	1428	0
Q0060	chrM	13818	13986	+	169	0
Q0060	chrM	16435	16470	+	36	0
Q0060	chrM	18954	19996	+	1043	0
Q0055	chrM	13818	13986	+	169	0
Q0055	chrM	16435	18830	+	2396	1
Q0050	chrM	13818	16322	+	2505	6
Q0075	chrM	24156	24870	+	715	0
Q0075	chrM	24906	25255	+	350	0
Q0080	chrM	27666	27812	+	147	0
Q0085	chrM	28487	29266	+	780	0
Q0092	chrM	30874	31014	+	141	0
Q0105	chrM	36540	36954	+	415	0
Q0105	chrM	37723	37736	+	14	0
Q0105	chrM	39141	39217	+	77	0
Q0105	chrM	40841	41090	+	250	0
Q0105	chrM	42508	42558	+	51	0
Q0105	chrM	43297	43647	+	351	0
Q0120	chrM	36540	36954	+	415	0
Q0120	chrM	37723	37736	+	14	0
Q0120	chrM	39141	39217	+	77	0
Q0120	chrM	40841	42251	+	1411	1
Q0115	chrM	36540	36954	+	415	0
Q0115	chrM	37723	37736	+	14	0
Q0115	chrM	39141	40265	+	1125	0
Q0110	chrM	36540	36954	+	415	0
Q0110	chrM	37723	38579	+	857	0
Q0130	chrM	46723	46953	+	231	2
Q0140	chrM	48901	50097	+	1197	0
Q0142	chrM	51052	51228	+	177	0
Q0143	chrM	51277	51429	+	153	0
Q0144	chrM	54109	54438	+	330	0
Q0160	chrM	61022	61729	+	708	1
Q0182	chrM	65770	66174	+	405	0
Q0250	chrM	73758	74513	+	756	2
Q0255	chrM	74495	75622	+	1128	0
Q0255	chrM	75663	75872	+	210	0
Q0255	chrM	75904	75984	+	81	0
Q0275	chrM	79213	80022	+	810	1
Q0297	chrM	85554	85709	+	156	0
YER054C	chrV	262052	263698	-	1647	746
YER114C	chrV	390590	393712	-	3123	1350
YER169W	chrV	523369	525759	+	2391	695
YEL077C	chrV	264	4097	-	3834	338
YEL077W-A	chrV	630	1112	+	483	58
YEL076C-A	chrV	4185	4322	-	138	0
YEL076C-A	chrV	4602	5114	-	513	0
YEL076C	chrV	4464	5114	-	651	0
YEL075W-A	chrV	4870	5481	+	612	0
YEL075C	chrV	5345	5713	-	369	0
YEL074W	chrV	6126	6464	+	339	18
YEL073C	chrV	7230	7553	-	324	79
YEL072W	chrV	13720	14415	+	696	243
YEL071W	chrV	16355	17845	+	1491	6588
YEL070W	chrV	19589	21097	+	1509	107
YEL069C	chrV	21537	23231	-	1695	32
YEL068C	chrV	25646	25978	-	333	309
YEL067C	chrV	26189	26776	-	588	227
YEL066W	chrV	26667	27206	+	540	726
YEL065W	chrV	27657	29543	+	1887	728
YEL064C	chrV	29797	31239	-	1443	399
YEL063C	chrV	31694	33466	-	1773	1653
YEL062W	chrV	34407	36254	+	1848	396
YEL061C	chrV	36535	39537	-	3003	567
YEL060C	chrV	40046	41953	-	1908	6980
YEL059C-A	chrV	42400	42624	-	225	184
YEL059W	chrV	42652	42960	+	309	115
YEL058W	chrV	43252	44925	+	1674	4480
YEL057C	chrV	45020	45721	-	702	75
YEL056W	chrV	47168	48373	+	1206	1194
YEL055C	chrV	48471	51539	-	3069	936
YEL054C	chrV	52721	53218	-	498	5864
YEL053W-A	chrV	52908	53255	+	348	4112
YEL053C	chrV	53901	56102	-	2202	624
YEL052W	chrV	56571	58100	+	1530	1727
YEL051W	chrV	58378	59148	+	771	3768
YEL050W-A	chrV	59549	59740	+	192	150
YEL050C	chrV	59670	60851	-	1182	895
YEL049W	chrV	63728	64090	+	363	30
YEL048C	chrV	64709	65167	-	459	49
YEL047C	chrV	65385	66797	-	1413	2221
YEL046C	chrV	67629	68792	-	1164	2653
YEL045C	chrV	68840	69265	-	426	101
YEL044W	chrV	69757	70257	+	501	2326
YEL043W	chrV	70478	73348	+	2871	1710
YEL042W	chrV	73771	75327	+	1557	2094
YEL041W	chrV	75944	77431	+	1488	262
YEL040W	chrV	78053	79456	+	1404	2672
YEL039C	chrV	79636	79977	-	342	718
YEL038W	chrV	80462	81145	+	684	1918
YEL037C	chrV	81407	82603	-	1197	3731
YEL036C	chrV	83050	84552	-	1503	2086
YEL035C	chrV	85045	85545	-	501	40
YEL034C-A	chrV	85613	86215	-	603	11024
YEL034W	chrV	85676	86149	+	474	10238
YEL033W	chrV	86179	86598	+	420	1334
YEL032W	chrV	86937	89852	+	2916	1379
YEL032C-A	chrV	87040	87201	-	162	27
YEL031W	chrV	90258	93905	+	3648	5248
YEL030C-A	chrV	94583	94897	-	315	16
YEL030W	chrV	94644	96578	+	1935	203
YEL029C	chrV	96858	97796	-	939	215
YEL028W	chrV	98668	99129	+	462	100
YEL027W	chrV	100769	101251	+	483	9699
YEL026W	chrV	101943	102323	+	381	2606
YEL025C	chrV	102581	106147	-	3567	1150
YEL024W	chrV	107260	107907	+	648	629
YEL023C	chrV	108504	110552	-	2049	391
YEL022W	chrV	111421	115800	+	4380	1586
YEL021W	chrV	116167	116970	+	804	0
YEL020C-B	chrV	117183	117380	-	198	407
YEL020W-A	chrV	117211	117474	+	264	554
YEL020C	chrV	118617	120299	-	1683	783
YEL019C	chrV	120498	121301	-	804	57
YEL018C-A	chrV	121455	121988	-	534	419
YEL018W	chrV	121471	122310	+	840	707
YEL017C-A	chrV	122798	122929	-	132	3152
YEL017W	chrV	123657	124670	+	1014	754
YEL016C	chrV	124737	126218	-	1482	542
YEL015W	chrV	126629	128284	+	1656	1603
YEL014C	chrV	128303	128608	-	306	88
YEL013W	chrV	128825	130561	+	1737	1269
YEL012W	chrV	131772	131776	+	5	48
YEL012W	chrV	131900	132551	+	652	1609
YEL011W	chrV	133120	135234	+	2115	6985
YEL010W	chrV	136279	136629	+	351	10
YEL009C-A	chrV	136371	136778	-	408	13
YEL009C	chrV	138918	139763	-	846	9766
YEL008W	chrV	140512	140892	+	381	69
YEL008C-A	chrV	140726	140818	-	93	31
YEL007W	chrV	141892	143892	+	2001	1422
YEL006W	chrV	144327	145334	+	1008	677
YEL005C	chrV	145907	146755	-	849	315
YEL004W	chrV	146951	147979	+	1029	212
YEL003W	chrV	148176	148194	+	19	56
YEL003W	chrV	148283	148599	+	317	458
YEL002C	chrV	148722	150014	-	1293	3115
YEL001C	chrV	150301	150978	-	678	2705
YER001W	chrV	153520	155808	+	2289	314
YER002W	chrV	156803	157498	+	696	1249
YER003C	chrV	157736	158994	-	1259	1947
YER003C	chrV	159088	159118	-	31	50
YER004W	chrV	159580	160275	+	696	2875
YER005W	chrV	160550	162442	+	1893	689
YER006W	chrV	162723	164285	+	1563	1382
YER006C-A	chrV	164344	164661	-	318	22
YER007W	chrV	164527	166083	+	1557	136
YER007C-A	chrV	166237	166771	-	535	1340
YER007C-A	chrV	166875	166885	-	11	74
YER008C	chrV	167808	171818	-	4011	1919
YER009W	chrV	172115	172492	+	378	3445
YER010C	chrV	172634	173338	-	705	963
YER011W	chrV	175248	176012	+	765	207
YER012W	chrV	177835	178431	+	597	2966
YER013W	chrV	178841	182278	+	3438	727
YER014W	chrV	182600	184219	+	1620	1156
YER014C-A	chrV	183731	184169	-	439	572
YER014C-A	chrV	184678	184700	-	23	4
YER015W	chrV	184541	186775	+	2235	324
YER016W	chrV	188277	189311	+	1035	1564
YER017C	chrV	189503	191788	-	2286	1959
YER018C	chrV	191959	192624	-	666	1103
YER019W	chrV	192797	194230	+	1434	2083
YER019C-A	chrV	194273	194539	-	267	3538
YER020W	chrV	195168	196517	+	1350	1843
YER021W	chrV	196948	198519	+	1572	3373
YER022W	chrV	198812	200875	+	2064	957
YER023W	chrV	201076	201936	+	861	4315
YER023C-A	chrV	201522	201734	-	213	1384
YER024W	chrV	202192	204963	+	2772	815
YER025W	chrV	205251	206834	+	1584	3421
YER026C	chrV	207644	208474	-	831	3099
YER027C	chrV	208979	210232	-	1254	1281
YER028C	chrV	210692	211876	-	1185	720
YER029C	chrV	212587	213177	-	591	1091
YER030W	chrV	213437	213898	+	462	1899
YER031C	chrV	214076	214747	-	672	2744
YER032W	chrV	215063	217693	+	2631	450
YER033C	chrV	218057	221287	-	3231	537
YER034W	chrV	221846	222403	+	558	416
YER035W	chrV	222639	223076	+	438	879
YER036C	chrV	223367	225199	-	1833	4852
YER037W	chrV	225889	226854	+	966	313
YER038C	chrV	226858	228252	-	1395	131
YER038W-A	chrV	228451	228831	+	381	207
YER039C	chrV	228456	229205	-	750	339
YER039C-A	chrV	229263	229481	-	219	60
YER040W	chrV	229795	231987	+	2193	767
YER041W	chrV	232461	234740	+	2280	605
YER042W	chrV	234937	235491	+	555	1158
YER043C	chrV	235770	237119	-	1350	7831
YER044C	chrV	237570	238016	-	447	778
YER044C-A	chrV	238460	239623	-	1164	24
YER044C-A	chrV	239712	239774	-	63	1
YER045C	chrV	240032	241501	-	1470	879
YER046W	chrV	243180	243611	+	432	436
YER046W-A	chrV	243700	244029	+	330	225
YER047C	chrV	243810	246503	-	2694	1357
YER048C	chrV	246982	248157	-	1176	2975
YER048W-A	chrV	250718	251002	+	285	693
YER049W	chrV	251728	253662	+	1935	1131
YER050C	chrV	253971	254387	-	417	838
YER051W	chrV	254656	256134	+	1479	404
YER052C	chrV	256375	257958	-	1584	1588
YER053C	chrV	258737	259639	-	903	1152
YER053C-A	chrV	260933	261046	-	114	7
YER055C	chrV	264892	265785	-	894	2873
YER056C	chrV	266512	268113	-	1602	1510
YER056C-A	chrV	269423	269751	-	329	4853
YER056C-A	chrV	270149	270185	-	37	258
YER057C	chrV	270737	271126	-	390	2417
YER058W	chrV	271768	272091	+	324	463
YER059W	chrV	272624	273886	+	1263	1141
YER060W	chrV	274567	276153	+	1587	790
YER060W-A	chrV	276572	278164	+	1593	130
YER061C	chrV	278298	279626	-	1329	428
YER062C	chrV	279930	280682	-	753	1692
YER063W	chrV	281710	282366	+	657	2086
YER064C	chrV	282705	284222	-	1518	1374
YER065C	chrV	285241	286914	-	1674	1282
YER066W	chrV	290242	290799	+	558	318
YER066C-A	chrV	291703	292203	-	501	844
YER067W	chrV	292066	292551	+	486	2273
YER067C-A	chrV	292240	292563	-	324	1776
YER068W	chrV	293050	294813	+	1764	1369
YER068C-A	chrV	295301	295732	-	432	64
YER069W	chrV	295410	298001	+	2592	831
YER070W	chrV	298950	301616	+	2667	767
YER071C	chrV	301947	302327	-	381	242
YER072W	chrV	302806	303195	+	390	2244
YER073W	chrV	304030	305592	+	1563	3375
YER074W	chrV	306323	306325	+	3	1325
YER074W	chrV	306792	307196	+	405	10252
YER074W-A	chrV	307653	307746	+	94	361
YER074W-A	chrV	307849	307956	+	108	550
YER074W-A	chrV	308068	308123	+	56	290
YER075C	chrV	308413	311199	-	2787	249
YER076C	chrV	312590	313498	-	909	385
YER076W-A	chrV	313390	313737	+	348	63
YER077C	chrV	314534	316600	-	2067	534
YER078C	chrV	316807	318342	-	1536	983
YER078W-A	chrV	318646	318810	+	165	12
YER079W	chrV	318920	319552	+	633	1357
YER079C-A	chrV	319902	320240	-	339	149
YER080W	chrV	319963	321846	+	1884	2049
YER081W	chrV	322686	324095	+	1410	10666
YER082C	chrV	324272	325936	-	1665	519
YER083C	chrV	326174	327031	-	858	1664
YER084W	chrV	327065	327451	+	387	113
YER084W-A	chrV	327598	328110	+	513	22
YER085C	chrV	327619	328140	-	522	20
YER086W	chrV	328477	330207	+	1731	2957
YER087W	chrV	330576	332306	+	1731	493
YER087C-A	chrV	331817	332368	-	552	286
YER087C-B	chrV	332582	332830	-	249	1161
YER088C	chrV	333176	335188	-	2013	7017
YER088C-A	chrV	335696	336019	-	324	646
YER088W-B	chrV	335927	336073	+	147	698
YER089C	chrV	335946	337340	-	1395	3002
YER090W	chrV	337949	339472	+	1524	2684
YER090C-A	chrV	338322	338411	-	90	94
YER091C	chrV	339864	342167	-	2304	8708
YER091C-A	chrV	342390	342611	-	222	4
YER092W	chrV	342855	343232	+	378	695
YER093C	chrV	343320	347612	-	4293	811
YER093C-A	chrV	347912	348201	-	290	261
YER093C-A	chrV	348277	348400	-	124	70
YER094C	chrV	348729	349346	-	618	4101
YER095W	chrV	349980	351182	+	1203	1958
YER096W	chrV	351698	353236	+	1539	90
YER097W	chrV	355140	355469	+	330	34
YER098W	chrV	355466	357730	+	2265	935
YER099C	chrV	358105	359061	-	957	975
YER100W	chrV	359562	360314	+	753	1124
YER101C	chrV	360502	361794	-	1293	276
YER102W	chrV	363100	363702	+	603	3302
YER103W	chrV	364589	366517	+	1929	667
YER104W	chrV	366802	367428	+	627	184
YER105C	chrV	367838	372013	-	4176	1339
YER106W	chrV	372326	373234	+	909	10
YER107C	chrV	373448	374545	-	1098	1285
YER107W-A	chrV	374394	374714	+	321	194
YER109C	chrV	375215	377614	-	2400	831
YER110C	chrV	378762	382103	-	3342	2017
YER111C	chrV	382595	385876	-	3282	816
YER112W	chrV	387232	387795	+	564	1373
YER113C	chrV	387932	390052	-	2121	749
YER115C	chrV	394292	394867	-	576	472
YER116C	chrV	395348	396172	-	825	532
YER117W	chrV	396769	396810	+	42	1729
YER117W	chrV	397282	397653	+	372	10433
YER118C	chrV	397952	399055	-	1104	1135
YER119C	chrV	399496	400842	-	1347	1465
YER119C-A	chrV	400867	401238	-	372	522
YER120W	chrV	401135	401869	+	735	3628
YER121W	chrV	402375	402719	+	345	178
YER122C	chrV	402871	404352	-	1482	2483
YER123W	chrV	404813	406387	+	1575	696
YER124C	chrV	407342	409063	-	1722	455
YER125W	chrV	410189	412618	+	2430	2508
YER126C	chrV	413394	414179	-	786	706
YER127W	chrV	414481	415554	+	1074	211
YER128W	chrV	415859	416470	+	612	89
YER129W	chrV	417281	420709	+	3429	1402
YER130C	chrV	421115	422446	-	1332	681
YER131W	chrV	423952	424311	+	360	8023
YER132C	chrV	425188	430449	-	5262	548
YER133W	chrV	432495	432671	+	177	718
YER133W	chrV	433197	433958	+	762	3014
YER133W-A	chrV	437191	437532	+	342	443
YER134C	chrV	437267	437803	-	537	606
YER135C	chrV	437952	438344	-	393	16
YER136W	chrV	439616	440971	+	1356	4763
YER137C	chrV	441373	441819	-	447	83
YER137W-A	chrV	441575	441880	+	306	40
YER138C	chrV	443756	447721	-	3966	0
YER138C	chrV	447723	449024	-	1302	0
YER137C-A	chrV	447702	449024	-	1323	0
YER138W-A	chrV	449474	449578	+	105	9
YER139C	chrV	450563	451243	-	681	223
YER140W	chrV	451565	453235	+	1671	565
YER141W	chrV	453459	454919	+	1461	2038
YER142C	chrV	455146	456036	-	891	833
YER143W	chrV	456319	457605	+	1287	1284
YER144C	chrV	457806	460223	-	2418	1428
YER145C	chrV	460526	461740	-	1215	5160
YER145C-A	chrV	462386	462823	-	438	1626
YER146W	chrV	462585	462866	+	282	1760
YER147C	chrV	462968	464842	-	1875	698
YER147C-A	chrV	465203	465613	-	411	869
YER148W	chrV	465303	466025	+	723	1715
YER148W-A	chrV	466185	466763	+	579	192
YER149C	chrV	466208	467470	-	1263	286
YER150W	chrV	468370	468816	+	447	583
YER151C	chrV	469686	472424	-	2739	1239
YER152C	chrV	472657	473988	-	1332	2284
YER152W-A	chrV	473485	474051	+	567	588
YER153C	chrV	474041	474805	-	765	212
YER154W	chrV	475020	476228	+	1209	1475
YER155C	chrV	476345	482848	-	6504	2590
YER156C	chrV	483325	484341	-	1017	1656
YER157W	chrV	484788	487193	+	2406	525
YER158C	chrV	488857	490578	-	1722	633
YER158W-A	chrV	491487	491702	+	216	634
YER159C	chrV	491530	491958	-	429	1334
YER160C	chrV	492856	496821	-	3966	0
YER160C	chrV	496823	498124	-	1302	0
YER159C-A	chrV	496802	498124	-	1323	0
YER161C	chrV	499347	500348	-	1002	1403
YER162C	chrV	500630	502894	-	2265	1246
YER163C	chrV	503084	503782	-	699	1107
YER164W	chrV	505392	509798	+	4407	1982
YER165W	chrV	510373	512106	+	1734	6750
YER165C-A	chrV	512627	512983	-	357	28
YER166W	chrV	512744	517459	+	4716	2317
YER167W	chrV	518216	520771	+	2556	1357
YER168C	chrV	521029	522669	-	1641	573
YER170W	chrV	525974	526651	+	678	337
YER171W	chrV	527082	529418	+	2337	568
YER172C	chrV	529530	536021	-	6492	1106
YER172C-A	chrV	536275	536655	-	381	60
YER173W	chrV	536300	538279	+	1980	468
YER174C	chrV	538434	539168	-	735	660
YER175C	chrV	539464	540363	-	900	348
YER175W-A	chrV	540650	540814	+	165	15
YER176W	chrV	541690	545055	+	3366	1279
YER177W	chrV	545611	546414	+	804	14302
YER178W	chrV	546817	548079	+	1263	7967
YER179W	chrV	548421	548552	+	132	21
YER179W	chrV	548645	549517	+	873	253
YER180C	chrV	549724	550527	-	804	415
YER180C-A	chrV	550865	551122	-	258	73
YER181C	chrV	551473	551796	-	324	2
YER182W	chrV	552525	553259	+	735	528
YER183C	chrV	553334	553969	-	636	562
YER184C	chrV	556296	558680	-	2385	280
YER185W	chrV	559454	560365	+	912	77
YER186C	chrV	561705	562625	-	921	658
YER187W	chrV	566230	566655	+	426	300
YER188W	chrV	568040	568759	+	720	183
YER188C-A	chrV	569608	569907	-	300	24
YER189W	chrV	571155	571523	+	369	0
YER190W	chrV	571480	576525	+	5046	5
YER190C-A	chrV	574804	575379	-	576	0
YER190C-B	chrV	575680	576162	-	483	0
YJL091C	chrX	261080	262552	-	1473	468
YJL026W	chrX	392404	393603	+	1200	3223
YJL026C-A	chrX	393066	393287	-	222	779
YJR125C	chrX	654737	655963	-	1227	2081
YJL225C	chrX	466	4581	-	4116	0
YJL225C	chrX	4970	6130	-	1161	0
YJL225W-A	chrX	829	1311	+	483	0
YJL223C	chrX	8776	9138	-	363	0
YJL222W-B	chrX	9346	9483	+	138	0
YJL222W-A	chrX	9452	9679	+	228	0
YJL222W	chrX	11475	16124	+	4650	47
YJL221C	chrX	16767	18536	-	1770	0
YJL220W	chrX	18243	18695	+	453	0
YJL219W	chrX	19497	21200	+	1704	77
YJL218W	chrX	21973	22563	+	591	504
YJL217W	chrX	23133	23729	+	597	1869
YJL216C	chrX	24341	26086	-	1746	234
YJL215C	chrX	26412	26771	-	360	27
YJL214W	chrX	26887	28596	+	1710	92
YJL213W	chrX	32163	33158	+	996	425
YJL212C	chrX	33850	36249	-	2400	756
YJL211C	chrX	36757	37200	-	444	768
YJL210W	chrX	36919	37734	+	816	1755
YJL209W	chrX	38005	39969	+	1965	386
YJL208C	chrX	40194	41183	-	990	163
YJL207C	chrX	41389	47433	-	6045	838
YJL206C	chrX	47659	49935	-	2277	350
YJL205C	chrX	50139	50268	-	130	176
YJL205C	chrX	50412	50443	-	32	35
YJL204C	chrX	50629	53151	-	2523	408
YJL203W	chrX	53341	54183	+	843	398
YJL202C	chrX	53943	54290	-	348	237
YJL201W	chrX	54379	56178	+	1800	600
YJL200C	chrX	56444	58813	-	2370	458
YJL199C	chrX	59856	60182	-	327	297
YJL198W	chrX	60844	63489	+	2646	2264
YJL197W	chrX	63805	67569	+	3765	1235
YJL197C-A	chrX	65805	66086	-	282	57
YJL196C	chrX	67850	68782	-	933	3354
YJL195C	chrX	69241	69942	-	702	59
YJL194W	chrX	69338	70879	+	1542	209
YJL193W	chrX	71366	72574	+	1209	245
YJL192C	chrX	72710	73414	-	705	1720
YJL191W	chrX	73787	73796	+	10	123
YJL191W	chrX	74205	74611	+	407	1672
YJL190C	chrX	74910	75302	-	393	11394
YJL189W	chrX	75933	75938	+	6	2555
YJL189W	chrX	76325	76474	+	150	12824
YJL188C	chrX	76202	76510	-	309	14434
YJL187C	chrX	76803	79262	-	2460	872
YJL186W	chrX	80155	81915	+	1761	1442
YJL185C	chrX	82095	82976	-	882	297
YJL184W	chrX	83448	83819	+	372	761
YJL183W	chrX	84068	85336	+	1269	1036
YJL182C	chrX	85435	85752	-	318	18
YJL181W	chrX	85660	87495	+	1836	556
YJL180C	chrX	87583	88560	-	978	532
YJL179W	chrX	88787	89116	+	330	301
YJL178C	chrX	89282	90097	-	816	1822
YJL177W	chrX	90786	91094	+	309	3342
YJL177W	chrX	91412	91657	+	246	4194
YJL176C	chrX	92053	94530	-	2478	1164
YJL175W	chrX	94049	94561	+	513	194
YJL174W	chrX	95092	95922	+	831	3678
YJL173C	chrX	96161	96529	-	369	965
YJL172W	chrX	97737	99467	+	1731	1685
YJL171C	chrX	99704	100894	-	1191	2943
YJL170C	chrX	101150	101779	-	630	363
YJL169W	chrX	102099	102467	+	369	322
YJL168C	chrX	102227	104428	-	2202	1219
YJL167W	chrX	105014	106072	+	1059	4722
YJL166W	chrX	106434	106718	+	285	1101
YJL165C	chrX	106894	109461	-	2568	1655
YJL164C	chrX	109966	111159	-	1194	1401
YJL163C	chrX	111666	113333	-	1668	1107
