Module	Section	Sample Name	Source
Samtools	flagstat	SRR614167	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR614167/alignment_qc/SRR614167.flagstat
Samtools	flagstat	SRR615177	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/blood/SRR615177/alignment_qc/SRR615177.flagstat
Samtools	flagstat	SRR595926	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR595926/alignment_qc/SRR595926.flagstat
Samtools	flagstat	SRR598253	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR598253/alignment_qc/SRR598253.flagstat
Samtools	flagstat	SRR603397	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR603397/alignment_qc/SRR603397.flagstat
Samtools	flagstat	SRR627449	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR627449/alignment_qc/SRR627449.flagstat
Samtools	flagstat	SRR627462	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/brain/SRR627462/alignment_qc/SRR627462.flagstat
Samtools	flagstat	SRR1093861	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR1093861/alignment_qc/SRR1093861.flagstat
Samtools	flagstat	SRR1095383	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR1095383/alignment_qc/SRR1095383.flagstat
Samtools	flagstat	SRR659649	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR659649/alignment_qc/SRR659649.flagstat
Samtools	flagstat	SRR807971	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR807971/alignment_qc/SRR807971.flagstat
Samtools	flagstat	SRR815711	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/liver/SRR815711/alignment_qc/SRR815711.flagstat
Samtools	flagstat	SRR600417	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600417/alignment_qc/SRR600417.flagstat
Samtools	flagstat	SRR600584	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600584/alignment_qc/SRR600584.flagstat
Samtools	flagstat	SRR600900	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR600900/alignment_qc/SRR600900.flagstat
Samtools	flagstat	SRR601900	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR601900/alignment_qc/SRR601900.flagstat
Samtools	flagstat	SRR665217	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/lung/SRR665217/alignment_qc/SRR665217.flagstat
Samtools	flagstat	SRR614206	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614206/alignment_qc/SRR614206.flagstat
Samtools	flagstat	SRR614755	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614755/alignment_qc/SRR614755.flagstat
Samtools	flagstat	SRR614779	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR614779/alignment_qc/SRR614779.flagstat
Samtools	flagstat	SRR615008	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR615008/alignment_qc/SRR615008.flagstat
Samtools	flagstat	SRR615623	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/skin/SRR615623/alignment_qc/SRR615623.flagstat
Samtools	flagstat	SRR655277	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR655277/alignment_qc/SRR655277.flagstat
Samtools	flagstat	SRR656191	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656191/alignment_qc/SRR656191.flagstat
Samtools	flagstat	SRR656373	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656373/alignment_qc/SRR656373.flagstat
Samtools	flagstat	SRR656469	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656469/alignment_qc/SRR656469.flagstat
Samtools	flagstat	SRR656528	/Users/tomer/Google Drive/PhD/Courses/Analysis of Next Generation Sequencing Data/Project/results/thyroid/SRR656528/alignment_qc/SRR656528.flagstat
