Run_s	SRA_Sample_s	Sample_Name_s	histological_type_s	is_tumor_s	sex_s	SRA_Study_s
SRR598509	SRS333025	GTEX-N7MT-1326-SM-2I3FV	Heart	No	female	SRP012682
SRR598220	SRS333038	GTEX-QEG5-0006-SM-2I5FZ	Blood	No	male	SRP012682
SRR598364	SRS333004	GTEX-QLQ7-0726-SM-2I5G2	Thyroid	No	male	SRP012682
SRR599313	SRS332999	GTEX-QDVN-2126-SM-2I3FR	Adipose Tissue	No	male	SRP012682
SRR600533	SRS333034	GTEX-NL3H-0011-R7a-SM-2I3G5	Brain	No	male	SRP012682
SRR600361	SRS333043	GTEX-N7MT-0011-R10A-SM-2I3E1	Brain	No	female	SRP012682
SRR607067	SRS333010	GTEX-OOBK-1626-SM-2HMKG	Muscle	No	male	SRP012682
SRR600754	SRS333008	GTEX-N7MT-0011-R11A-SM-2I3DZ	Brain	No	female	SRP012682
SRR600784	SRS333028	GTEX-N7MT-0126-SM-2D7VT	Lung	No	female	SRP012682
SRR601122	SRS333014	GTEX-NL4W-0011-R6a-SM-2I3GA	Brain	No	male	SRP012682
SRR602540	SRS332997	GTEX-Q2AG-0011-R7A-SM-2HMJP	Brain	No	female	SRP012682
SRR601962	SRS333029	GTEX-QDVN-0626-SM-2I3FP	Thyroid	No	male	SRP012682
SRR608002	SRS333022	GTEX-P44G-0011-R3A-SM-2I3FC	Brain	No	male	SRP012682
SRR601645	SRS333012	GTEX-P4PQ-0326-SM-2HMJ8	Heart	No	male	SRP012682
SRR601843	SRS333050	GTEX-OXRL-2626-SM-2I3F1	Thyroid	No	male	SRP012682
SRR606974	SRS332992	GTEX-O5YV-2026-SM-2D7VS	Muscle	No	female	SRP012682
SRR607775	SRS333036	GTEX-N7MS-0011-R3a-SM-2HMKD	Brain	No	male	SRP012682
SRR607839	SRS333017	GTEX-N7MS-0926-SM-2HMIZ	Lung	No	male	SRP012682
SRR603116	SRS333023	GTEX-OOBJ-1626-SM-2I3F7	Muscle	No	male	SRP012682
SRR603092	SRS333027	GTEX-QDVN-0726-SM-2I3FO	Lung	No	male	SRP012682
SRR603752	SRS332995	GTEX-P44G-0011-R5A-SM-2I3FA	Brain	No	male	SRP012682
SRR603212	SRS333035	GTEX-OHPL-0126-SM-2HMJ7	Skin	No	female	SRP012682
SRR603268	SRS333021	GTEX-Q734-0526-SM-2I3EH	Thyroid	No	female	SRP012682
SRR603333	SRS333031	GTEX-OXRN-2426-SM-2I5EQ	Brain	No	male	SRP012682
SRR604098	SRS333045	GTEX-N7MS-0011-R11A-SM-2HMJS	Brain	No	male	SRP012682
SRR607967	SRS333024	GTEX-N7MT-1226-SM-2D7W4	Brain	No	female	SRP012682
SRR598068	SRS333100	GTEX-QEG5-0826-SM-2I5GF	Thyroid	No	male	SRP012682
SRR597927	SRS333055	GTEX-NL3H-0011-R6a-SM-2I3G8	Brain	No	male	SRP012682
SRR597952	SRS333108	GTEX-OOBJ-2626-SM-2I3F6	Thyroid	No	male	SRP012682
SRR598638	SRS333070	GTEX-NL3H-0011-R5a-SM-2I3GB	Brain	No	male	SRP012682
SRR598332	SRS333080	GTEX-P44G-2426-SM-2I5ER	Brain	No	male	SRP012682
SRR599225	SRS333121	GTEX-P44G-0011-R11A-SM-2I3FD	Brain	No	male	SRP012682
SRR600608	SRS333087	GTEX-NL3H-0011-R3a-SM-2I3GL	Brain	No	male	SRP012682
SRR600924	SRS333056	GTEX-OHPM-0326-SM-2HMKT	Heart	No	male	SRP012682
SRR601311	SRS333090	GTEX-PWOO-0726-SM-2I3EB	Lung	No	female	SRP012682
SRR601549	SRS333099	GTEX-PLZ4-1226-SM-2I5FE	Thyroid	No	female	SRP012682
SRR602365	SRS333123	GTEX-N7MT-0011-R3a-SM-2I3GC	Brain	No	female	SRP012682
SRR601755	SRS333059	GTEX-OHPN-0011-R3A-SM-2I5FC	Brain	No	female	SRP012682
SRR607279	SRS333066	GTEX-PLZ6-0426-SM-2I5FG	Lung	No	male	SRP012682
SRR602646	SRS333109	GTEX-QDVJ-1726-SM-2I5FX	Skin	No	male	SRP012682
SRR602784	SRS333102	GTEX-OHPK-0006-SM-2HMKH	Blood	No	female	SRP012682
SRR602871	SRS333098	GTEX-NL4W-0011-R9a-SM-2I3G1	Brain	No	male	SRP012682
SRR603726	SRS333107	GTEX-Q2AH-0726-SM-2I3EA	Thyroid	No	male	SRP012682
SRR604206	SRS333057	GTEX-OHPJ-0926-SM-2HMJ1	Heart	No	male	SRP012682
SRR604366	SRS333076	GTEX-NPJ8-0011-R5a-SM-2HMJY	Brain	No	male	SRP012682
SRR603365	SRS333089	GTEX-OXRN-1226-SM-2I5EL	Blood Vessel	No	male	SRP012682
SRR608598	SRS333124	GTEX-OHPN-0011-R2A-SM-2I5FB	Brain	No	female	SRP012682
SRR608456	SRS333104	GTEX-N7MS-0011-R1a-SM-2HMJG	Brain	No	male	SRP012682
SRR607935	SRS333110	GTEX-PWO3-0011-R1A-SM-2I5EW	Brain	No	female	SRP012682
SRR608264	SRS333125	GTEX-P4PP-1626-SM-2HMJF	Muscle	No	female	SRP012682
SRR604480	SRS333095	GTEX-P4PQ-0526-SM-2HMKR	Lung	No	male	SRP012682
SRR604390	SRS333093	GTEX-Q734-0626-SM-2I3EF	Lung	No	female	SRP012682
SRR605101	SRS333067	GTEX-PLZ5-1726-SM-2I5F6	Muscle	No	male	SRP012682
SRR599059	SRS333154	GTEX-OIZG-0526-SM-2HMLF	Lung	No	male	SRP012682
SRR599122	SRS333159	GTEX-P44G-0626-SM-2I5EO	Thyroid	No	male	SRP012682
SRR598792	SRS333205	GTEX-QDVN-0926-SM-2I5GL	Pancreas	No	male	SRP012682
SRR600385	SRS333207	GTEX-PWO3-0011-R3A-SM-2I5EX	Brain	No	female	SRP012682
SRR600852	SRS333209	GTEX-OXRL-0326-SM-2I3F2	Heart	No	male	SRP012682
SRR600900	SRS333156	GTEX-PX3G-0526-SM-2I3EM	Lung	No	female	SRP012682
SRR607214	SRS333137	GTEX-N7MS-0007-SM-2D7W1	Blood	No	male	SRP012682
SRR601038	SRS333165	GTEX-PWCY-0005-SM-2I3E2	Blood	No	female	SRP012682
SRR601986	SRS333152	GTEX-OIZG-1126-SM-2HMIU	Heart	No	male	SRP012682
SRR602058	SRS333179	GTEX-OOBK-0526-SM-2HMJJ	Lung	No	male	SRP012682
SRR601671	SRS333176	GTEX-OIZH-1626-SM-2HMKI	Muscle	No	male	SRP012682
SRR602516	SRS333186	GTEX-NL3H-0011-R10A-SM-2I3E9	Brain	No	male	SRP012682
SRR607647	SRS333191	GTEX-PWO3-0011-R5A-SM-2I5EZ	Brain	No	female	SRP012682
SRR606982	SRS333206	GTEX-QEG5-0226-SM-2I5GI	Skin	No	male	SRP012682
SRR608150	SRS333168	GTEX-Q734-1826-SM-2I3EL	Adipose Tissue	No	female	SRP012682
SRR602704	SRS333170	GTEX-Q2AG-0011-R10A-SM-2HMLA	Brain	No	female	SRP012682
SRR602839	SRS333174	GTEX-OXRN-0011-R5A-SM-2I5EF	Brain	No	male	SRP012682
SRR603164	SRS333195	GTEX-P4PQ-1626-SM-2HMKK	Muscle	No	male	SRP012682
SRR603750	SRS333202	GTEX-NPJ8-0326-SM-2D7VV	Lung	No	male	SRP012682
SRR607538	SRS333134	GTEX-NPJ8-0011-R7a-SM-2HMJV	Brain	No	male	SRP012682
SRR604074	SRS333162	GTEX-Q2AG-0011-R2A-SM-2HMIT	Brain	No	female	SRP012682
SRR603330	SRS333158	GTEX-NPJ8-0007-SM-2D7VX	Blood	No	male	SRP012682
SRR603472	SRS333201	GTEX-P4QS-0005-SM-2I3EY	Blood	No	male	SRP012682
SRR603534	SRS333132	GTEX-NL4W-0011-R4a-SM-2I5GZ	Brain	No	male	SRP012682
SRR608480	SRS333175	GTEX-OHPL-0326-SM-2HMKS	Heart	No	female	SRP012682
SRR604414	SRS333149	GTEX-PWN1-0126-SM-2I3FK	Skin	No	female	SRP012682
SRR607042	SRS333153	GTEX-P4PP-0005-SM-2HMKX	Blood	No	female	SRP012682
SRR598100	SRS333268	GTEX-P4QT-2626-SM-2I3FM	Thyroid	No	female	SRP012682
SRR598452	SRS333231	GTEX-OHPN-2726-SM-2I5H4	Muscle	No	female	SRP012682
SRR598725	SRS333265	GTEX-PWOO-0006-SM-2I3E3	Blood	No	female	SRP012682
SRR598831	SRS333238	GTEX-Q2AG-0005-SM-2HMK3	Blood	No	female	SRP012682
SRR600417	SRS333244	GTEX-Q2AI-0526-SM-2I3EJ	Lung	No	male	SRP012682
SRR600584	SRS333222	GTEX-OHPL-0526-SM-2HMIX	Lung	No	female	SRP012682
SRR600724	SRS333250	GTEX-NPJ8-0011-R1a-SM-2HMLC	Brain	No	male	SRP012682
SRR607311	SRS333254	GTEX-N7MS-2526-SM-2D7W3	Brain	No	male	SRP012682
SRR601815	SRS333259	GTEX-OHPM-1626-SM-2HMK4	Muscle	No	male	SRP012682
SRR603690	SRS333274	GTEX-PWO3-0005-SM-2I5FS	Blood	No	female	SRP012682
SRR607091	SRS333225	GTEX-NPJ8-0011-R3a-SM-2HMIW	Brain	No	male	SRP012682
SRR607743	SRS333266	GTEX-P4QR-0006-SM-2I5GN	Blood	No	male	SRP012682
SRR607807	SRS333267	GTEX-POMQ-2226-SM-2I5FK	Skin	No	female	SRP012682
SRR607141	SRS333233	GTEX-NPJ8-0011-R6a-SM-2HMKB	Brain	No	male	SRP012682
SRR602564	SRS333230	GTEX-P78B-0005-SM-2I5GM	Blood	No	female	SRP012682
SRR603004	SRS333252	GTEX-P78B-0926-SM-2I5FA	Lung	No	female	SRP012682
SRR607478	SRS333256	GTEX-NPJ7-0011-R4a-SM-2I3GJ	Brain	No	female	SRP012682
SRR603036	SRS333210	GTEX-QDVJ-0226-SM-2I5FV	Thyroid	No	male	SRP012682
SRR603776	SRS333219	GTEX-OXRP-0526-SM-2I3EW	Lung	No	female	SRP012682
SRR603236	SRS333213	GTEX-P4QR-0726-SM-2I5GO	Muscle	No	male	SRP012682
SRR603890	SRS333239	GTEX-NL4W-0006-SM-2I3GH	Blood	No	male	SRP012682
SRR607445	SRS333243	GTEX-OHPN-0011-R4A-SM-2I5FD	Brain	No	female	SRP012682
SRR608718	SRS333277	GTEX-Q2AG-0011-R11A-SM-2HMKZ	Brain	No	female	SRP012682
SRR607887	SRS333242	GTEX-NL4W-0011-R11A-SM-2I3DW	Brain	No	male	SRP012682
SRR604677	SRS333246	GTEX-OXRO-0326-SM-2I5EE	Lung	No	female	SRP012682
SRR607502	SRS333224	GTEX-PSDG-0726-SM-2I5FN	Thyroid	No	male	SRP012682
SRR627459	SRS333263	GTEX-O5YV-0526-SM-2D7VZ	Lung	No	female	SRP012682
SRR598042	SRS333297	K-562-SM-2D7VW	Bone Marrow	Yes	female	SRP012682
SRR598148	SRS333278	GTEX-NPJ8-0426-SM-2HMK6	Heart	No	male	SRP012682
SRR598396	SRS333341	GTEX-P44G-2526-SM-2I5EK	Brain	No	male	SRP012682
SRR598645	SRS333314	GTEX-PWOO-0926-SM-2I3EC	Thyroid	No	female	SRP012682
SRR599412	SRS333298	GTEX-QMRM-0726-SM-2I5G8	Thyroid	No	male	SRP012682
SRR599380	SRS333281	GTEX-QLQ7-0526-SM-2I5G3	Heart	No	male	SRP012682
SRR600632	SRS333328	GTEX-P4PP-0526-SM-2HMKE	Lung	No	female	SRP012682
SRR600560	SRS333307	GTEX-N7MS-0011-R6a-SM-2HMJ4	Brain	No	male	SRP012682
SRR607219	SRS333290	GTEX-OIZF-0006-SM-2I5GQ	Blood	No	male	SRP012682
SRR601157	SRS333296	GTEX-PWN1-2626-SM-2I3FH	Thyroid	No	female	SRP012682
SRR601201	SRS333286	GTEX-OHPN-0011-R6A-SM-2I5FH	Brain	No	female	SRP012682
SRR602271	SRS333305	GTEX-OXRO-0011-R5A-SM-2I5EG	Brain	No	female	SRP012682
SRR602461	SRS333331	GTEX-OOBJ-0326-SM-2I3F8	Heart	No	male	SRP012682
SRR601445	SRS333338	GTEX-OXRN-0526-SM-2I5EN	Lung	No	male	SRP012682
SRR608026	SRS333309	GTEX-OXRN-0005-SM-2I5EU	Blood	No	male	SRP012682
SRR601525	SRS333318	GTEX-PX3G-2626-SM-2I3EG	Thyroid	No	female	SRP012682
SRR602282	SRS333326	GTEX-Q734-1926-SM-2I5EV	Skin	No	female	SRP012682
SRR601900	SRS333310	GTEX-OHPJ-1026-SM-2HMLE	Lung	No	male	SRP012682
SRR607337	SRS333336	GTEX-OXRN-0011-R10A-SM-2I5GC	Brain	No	male	SRP012682
SRR608120	SRS333304	GTEX-OHPM-2626-SM-2HMJL	Thyroid	No	male	SRP012682
SRR602728	SRS333291	GTEX-Q2AG-0011-R3A-SM-2HMJ9	Brain	No	female	SRP012682
SRR604174	SRS333342	GTEX-O5YV-0326-SM-2I5H2	Heart	No	female	SRP012682
SRR607018	SRS333329	GTEX-OHPM-0006-SM-2HMKU	Blood	No	male	SRP012682
SRR608368	SRS333337	GTEX-P44G-0011-R7A-SM-2I3F9	Brain	No	male	SRP012682
SRR608392	SRS333332	GTEX-PLZ6-0006-SM-2I5FQ	Blood	No	male	SRP012682
SRR608230	SRS333284	GTEX-N7MT-0011-R8a-SM-2I5GU	Brain	No	female	SRP012682
SRR604718	SRS333334	GTEX-OIZG-0005-SM-2HMJC	Blood	No	male	SRP012682
SRR598044	SRS333390	GTEX-NFK9-0626-SM-2HMIV	Muscle	No	male	SRP012682
SRR597977	SRS333365	GTEX-NL4W-0011-R2a-SM-2I5GV	Brain	No	male	SRP012682
SRR599249	SRS333408	GTEX-QESD-0526-SM-2I5G5	Heart	No	male	SRP012682
SRR599448	SRS333380	GTEX-NL3H-0011-R4a-SM-2I3GK	Brain	No	male	SRP012682
SRR600957	SRS333381	GTEX-NPJ7-0011-R11A-SM-2I3E8	Brain	No	female	SRP012682
SRR601098	SRS333391	GTEX-NPJ7-2826-SM-2I3FU	Brain	No	female	SRP012682
SRR602389	SRS333358	GTEX-PWCY-2326-SM-2I3EQ	Thyroid	No	female	SRP012682
SRR602010	SRS333397	GTEX-OIZG-1326-SM-2HMIQ	Muscle	No	male	SRP012682
SRR602131	SRS333402	GTEX-OHPN-0011-R8A-SM-2I5FJ	Brain	No	female	SRP012682
SRR602169	SRS333359	GTEX-Q2AG-0011-R1A-SM-2HMJI	Brain	No	female	SRP012682
SRR607313	SRS333356	GTEX-OXRK-0826-SM-2HMK7	Heart	No	female	SRP012682
SRR601359	SRS333389	GTEX-OHPK-2626-SM-2HMK9	Thyroid	No	female	SRP012682
SRR601500	SRS333418	GTEX-P44G-0011-R10A-SM-2I3FF	Brain	No	male	SRP012682
SRR601787	SRS333382	GTEX-NL3H-0011-R2a-SM-2I3GG	Brain	No	male	SRP012682
SRR607970	SRS333420	GTEX-P4PP-0326-SM-2HML9	Heart	No	female	SRP012682
SRR607705	SRS333415	GTEX-OXRP-0326-SM-2I5ET	Thyroid	No	female	SRP012682
SRR602314	SRS333351	GTEX-NPJ7-0011-R10A-SM-2I3E5	Brain	No	female	SRP012682
SRR602338	SRS333417	GTEX-OIZH-2626-SM-2HMJM	Thyroid	No	male	SRP012682
SRR602927	SRS333379	GTEX-Q2AG-2926-SM-2HMJ3	Brain	No	female	SRP012682
SRR604146	SRS333367	GTEX-NPJ8-2626-SM-2D7W2	Brain	No	male	SRP012682
SRR603596	SRS333405	GTEX-NL3H-0011-R11A-SM-2I3E6	Brain	No	male	SRP012682
SRR603188	SRS333399	GTEX-Q2AH-0426-SM-2I3EP	Lung	No	male	SRP012682
SRR603292	SRS333393	GTEX-OIZG-0726-SM-2I5GS	Skin	No	male	SRP012682
SRR603496	SRS333403	GTEX-POMQ-0006-SM-2I5F4	Blood	No	female	SRP012682
SRR603566	SRS333370	GTEX-Q2AH-0005-SM-2I3FI	Blood	No	male	SRP012682
SRR608630	SRS333361	GTEX-QESD-0626-SM-2I5G4	Lung	No	male	SRP012682
SRR608694	SRS333383	GTEX-NFK9-0226-SM-2HMKQ	Skin	No	male	SRP012682
SRR598196	SRS333429	GTEX-N7MT-0011-R6a-SM-2I3G3	Brain	No	female	SRP012682
SRR598533	SRS333473	GTEX-OHPN-0011-R11A-SM-2I5FM	Brain	No	female	SRP012682
SRR599086	SRS333477	GTEX-PSDG-0926-SM-2I5FP	Heart	No	male	SRP012682
SRR598671	SRS333460	GTEX-N7MT-0011-R4a-SM-2I3G9	Brain	No	female	SRP012682
SRR600348	SRS333472	GTEX-NPJ7-0011-R6a-SM-2I3G7	Brain	No	female	SRP012682
SRR600474	SRS333449	GTEX-PX3G-0326-SM-2I3EO	Heart	No	female	SRP012682
SRR600688	SRS333431	GTEX-O5YV-0006-SM-2I5GX	Blood	No	female	SRP012682
SRR606939	SRS333474	GTEX-POMQ-0326-SM-2I5FO	Heart	No	female	SRP012682
SRR601239	SRS333437	GTEX-Q2AH-0526-SM-2I3ED	Heart	No	male	SRP012682
SRR602106	SRS333452	GTEX-NFK9-0926-SM-2HMJU	Heart	No	male	SRP012682
SRR601387	SRS333471	GTEX-OXRK-1826-SM-2HMJE	Muscle	No	female	SRP012682
SRR601477	SRS333433	GTEX-P4QT-0526-SM-2I3EX	Lung	No	female	SRP012682
SRR607679	SRS333444	GTEX-N7MS-2326-SM-2HMLD	Thyroid	No	male	SRP012682
SRR601669	SRS333465	GTEX-NPJ8-1526-SM-2D7VU	Brain	No	male	SRP012682
SRR608542	SRS333454	GTEX-QDVJ-0926-SM-2I5FU	Lung	No	male	SRP012682
SRR602978	SRS333434	GTEX-Q2AG-0826-SM-2HMKF	Thyroid	No	female	SRP012682
SRR603858	SRS333424	GTEX-P4QR-1026-SM-2I5GP	Lung	No	male	SRP012682
SRR604050	SRS333427	GTEX-N7MS-0011-R2a-SM-2HML6	Brain	No	male	SRP012682
SRR604294	SRS333450	GTEX-OXRK-0626-SM-2HMJ5	Thyroid	No	female	SRP012682
SRR604318	SRS333448	GTEX-NPJ8-0011-R8a-SM-2HMLG	Brain	No	male	SRP012682
SRR607166	SRS333464	GTEX-NFK9-1026-SM-2HMK1	Lung	No	male	SRP012682
SRR604262	SRS333441	GTEX-OXRO-0011-R10A-SM-2I5EH	Brain	No	female	SRP012682
SRR603658	SRS333468	GTEX-OHPN-0011-R1A-SM-2I5GB	Brain	No	female	SRP012682
SRR607611	SRS333422	GTEX-OHPN-0011-R5A-SM-2I5FF	Brain	No	female	SRP012682
SRR608428	SRS333467	GTEX-NL3H-0006-SM-2I3FW	Blood	No	male	SRP012682
SRR608198	SRS333447	GTEX-OXRN-0226-SM-2I5EJ	Adipose Tissue	No	male	SRP012682
SRR604456	SRS333445	GTEX-NL4W-0011-R10A-SM-2I3DY	Brain	No	male	SRP012682
SRR598172	SRS333527	GTEX-OXRP-0006-SM-2I3FN	Blood	No	female	SRP012682
SRR598565	SRS333481	GTEX-Q2AI-0326-SM-2I3EK	Thyroid	No	male	SRP012682
SRR599154	SRS333543	GTEX-QMRM-0826-SM-2I5G7	Lung	No	male	SRP012682
SRR599346	SRS333514	GTEX-P78B-0526-SM-2I5F7	Thyroid	No	female	SRP012682
SRR598768	SRS333535	GTEX-P44G-0011-R1A-SM-2I3FE	Brain	No	male	SRP012682
SRR599486	SRS333541	GTEX-N7MT-0011-R2a-SM-2I3GI	Brain	No	female	SRP012682
SRR600656	SRS333482	GTEX-QEG5-0426-SM-2I5GJ	Muscle	No	male	SRP012682
SRR600829	SRS333491	GTEX-QEG4-0426-SM-2I5GK	Heart	No	male	SRP012682
SRR601263	SRS333488	GTEX-OOBJ-0006-SM-2I3F4	Blood	No	male	SRP012682
SRR600981	SRS333537	GTEX-OHPL-1626-SM-2HMIR	Muscle	No	female	SRP012682
SRR601006	SRS333479	GTEX-PWO3-0926-SM-2I5EY	Brain	No	female	SRP012682
SRR602082	SRS333509	GTEX-OIZH-0126-SM-2HMIS	Skin	No	male	SRP012682
SRR602193	SRS333545	GTEX-NL4W-0011-R8a-SM-2I3G4	Brain	No	male	SRP012682
SRR601581	SRS333512	GTEX-QEG4-0006-SM-2I5FY	Blood	No	male	SRP012682
SRR601723	SRS333498	GTEX-O5YV-0526-SM-2I5GE	Lung	No	female	SRP012682
SRR607117	SRS333513	GTEX-OHPJ-1626-SM-2HMKO	Muscle	No	male	SRP012682
SRR602680	SRS333487	GTEX-QCQG-0326-SM-2I3ES	Lung	No	female	SRP012682
SRR603140	SRS333486	GTEX-Q734-0006-SM-2I3FJ	Blood	No	female	SRP012682
SRR602951	SRS333495	GTEX-NPJ8-2526-SM-2HML8	Thyroid	No	male	SRP012682
SRR603068	SRS333504	GTEX-N7MS-0011-R4a-SM-2HMKW	Brain	No	male	SRP012682
SRR607252	SRS333526	GTEX-PWCY-0526-SM-2I3ER	Heart	No	female	SRP012682
SRR603968	SRS333508	GTEX-P44G-0826-SM-2I5ES	Heart	No	male	SRP012682
SRR604148	SRS333501	GTEX-P4QS-2626-SM-2I3EV	Thyroid	No	male	SRP012682
SRR607911	SRS333517	GTEX-PX3G-0126-SM-2I3EN	Skin	No	female	SRP012682
SRR603421	SRS333493	GTEX-OXRK-0006-SM-2HML1	Blood	No	female	SRP012682
SRR603449	SRS333538	GTEX-OHPK-0326-SM-2HMJO	Heart	No	female	SRP012682
SRR603620	SRS333540	GTEX-QEG5-1126-SM-2I5GH	Lung	No	male	SRP012682
SRR598009	SRS333557	GTEX-PWO3-1026-SM-2I5F2	Brain	No	female	SRP012682
SRR598300	SRS333564	GTEX-PX3G-0006-SM-2I3E4	Blood	No	female	SRP012682
SRR598589	SRS333602	GTEX-PLZ5-0626-SM-2I5F8	Heart	No	male	SRP012682
SRR600786	SRS333566	GTEX-P44G-0226-SM-2I3F3	Skin	No	male	SRP012682
SRR600876	SRS333582	GTEX-Q2AG-2826-SM-2HMJQ	Brain	No	female	SRP012682
SRR601287	SRS333577	GTEX-N7MT-0011-R7a-SM-2I3FZ	Brain	No	female	SRP012682
SRR601169	SRS333624	GTEX-PWO3-0011-R8A-SM-2I5GD	Brain	No	female	SRP012682
SRR601335	SRS333559	GTEX-P4PQ-0005-SM-2HMKJ	Blood	No	male	SRP012682
SRR602034	SRS333631	GTEX-Q2AI-0006-SM-2I3FG	Blood	No	male	SRP012682
