# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "4" "-t" "gene" "-f" "-a" "databases/GenomeReference_hg38/annotation/Homo_sapiens.GRCh38.77.gtf" "-o" "databases/gtex_files/brain/SRR598253/counts/SRR598253_counts.txt" "databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam
ENSG00000067606	1	2050470	2185395	+	134926	11793
ENSG00000271806	1	2141084	2145279	-	4196	0
ENSG00000182873	1	2181794	2184389	-	2596	0
ENSG00000162585	1	2184461	2212720	-	28260	1855
ENSG00000234396	1	2212523	2220738	+	8216	94
ENSG00000277082	1	2222427	2222500	-	74	0
ENSG00000157933	1	2228695	2310119	+	81425	9569
ENSG00000116151	1	2321253	2391707	-	70455	2043
ENSG00000272161	1	2326201	2326693	-	493	0
ENSG00000269896	1	2350414	2352820	-	2407	0
ENSG00000272420	1	2363061	2363628	-	568	0
ENSG00000157916	1	2391775	2405444	+	13670	4187
ENSG00000157911	1	2403964	2413797	-	9834	1523
ENSG00000149527	1	2425980	2505530	+	79551	3337
ENSG00000224387	1	2492300	2493258	-	959	0
ENSG00000229393	1	2493437	2494479	-	1043	0
ENSG00000157881	1	2508533	2526600	-	18068	3169
ENSG00000197921	1	2528745	2530245	-	1501	366
ENSG00000272449	1	2546465	2547460	+	996	275
ENSG00000238164	1	2549920	2557031	-	7112	128
ENSG00000157873	1	2555639	2565382	+	9744	862
ENSG00000225931	1	2566410	2569888	+	3479	8
ENSG00000228037	1	2581560	2584533	+	2974	7
ENSG00000157870	1	2586491	2591469	+	4979	2822
ENSG00000142606	1	2590639	2632990	-	42352	82
ENSG00000237058	1	2632568	2636620	+	4053	0
ENSG00000215912	1	2635976	2801721	-	165746	199
ENSG00000233234	1	2811850	2812692	-	843	0
ENSG00000231630	1	2814432	2814998	-	567	0
ENSG00000169717	1	3021483	3022903	+	1421	0
ENSG00000177133	1	3059615	3068437	-	8823	7998
ENSG00000142611	1	3069168	3438621	+	369454	2787
ENSG00000226286	1	3132927	3133709	-	783	0
ENSG00000279839	1	3205988	3208664	+	2677	0
ENSG00000272235	1	3306636	3310096	-	3461	0
ENSG00000130762	1	3454426	3481113	+	26688	177
ENSG00000272088	1	3487246	3487627	+	382	0
ENSG00000162591	1	3489920	3611495	-	121576	522
ENSG00000207776	1	3560695	3560790	-	96	0
ENSG00000238260	1	3623190	3624743	-	1554	172
ENSG00000158109	1	3625002	3630127	+	5126	13799
ENSG00000116213	1	3630767	3652761	-	21995	1657
ENSG00000078900	1	3652520	3736201	+	83682	65
ENSG00000227589	1	3658938	3668772	-	9835	0
ENSG00000235131	1	3712200	3714298	-	2099	0
ENSG00000227372	1	3735601	3747336	-	11736	2820
ENSG00000276189	1	3736943	3737103	+	161	0
ENSG00000162592	1	3752398	3771645	+	19248	145
ENSG00000235169	1	3772788	3775982	+	3195	25
ENSG00000130764	1	3778558	3796504	-	17947	4874
ENSG00000266075	1	3782815	3783111	+	297	0
ENSG00000272153	1	3785008	3785538	+	531	0
ENSG00000116198	1	3812081	3857214	-	45134	3869
ENSG00000169598	1	3857267	3885429	+	28163	2091
ENSG00000198912	1	3889125	3900293	-	11169	1197
ENSG00000236423	1	3900372	3917225	+	16854	41
ENSG00000233304	1	3940613	3955262	+	14650	16
ENSG00000226374	1	3947149	3948980	-	1832	0
ENSG00000229280	1	4175528	4175899	-	372	0
ENSG00000235054	1	4412051	4424687	+	12637	2
ENSG00000227169	1	4551735	4552145	-	411	0
ENSG00000232596	1	4571548	4583421	+	11874	0
ENSG00000196581	1	4654732	4792534	+	137803	6157
ENSG00000277731	1	4892068	4892162	-	95	0
ENSG00000231510	1	5086459	5090899	-	4441	0
ENSG00000260972	1	5492978	5494674	+	1697	0
ENSG00000264341	1	5564071	5564143	+	73	2
ENSG00000236948	1	5587368	5668295	-	80928	96
ENSG00000216045	1	5815871	5815959	-	89	0
ENSG00000264101	1	5862672	5862741	-	70	2
ENSG00000131697	1	5862810	5992473	-	129664	2754
ENSG00000266687	1	5893839	5893924	-	86	0
ENSG00000069424	1	5991466	6101193	+	109728	36966
ENSG00000116254	1	6101793	6180123	-	78331	4052
ENSG00000116251	1	6181269	6209389	-	28121	11957
ENSG00000226944	1	6204840	6205780	-	941	0
ENSG00000158286	1	6205475	6221299	+	15825	1194
ENSG00000116237	1	6221193	6235972	-	14780	8471
ENSG00000225077	1	6236240	6239444	+	3205	11
ENSG00000173673	1	6244192	6245578	+	1387	0
ENSG00000158292	1	6247346	6260975	-	13630	756
ENSG00000097021	1	6264269	6394391	-	130123	8862
ENSG00000271746	1	6393555	6394391	+	837	0
ENSG00000069812	1	6412418	6424670	-	12253	1
ENSG00000187017	1	6424788	6461370	+	36583	107
ENSG00000265392	1	6429834	6429896	-	63	0
ENSG00000231868	1	6443034	6447006	-	3973	0
ENSG00000215788	1	6461151	6466195	-	5045	1629
ENSG00000171680	1	6466092	6520061	-	53970	3418
ENSG00000162408	1	6521347	6554535	-	33189	1897
ENSG00000253022	1	6540854	6540964	+	111	0
ENSG00000229519	1	6547905	6548619	+	715	0
ENSG00000173662	1	6555181	6579757	+	24577	66
ENSG00000204859	1	6580001	6589280	+	9280	1657
ENSG00000162413	1	6590724	6614607	-	23884	5331
ENSG00000116273	1	6613685	6624033	+	10349	1386
ENSG00000041988	1	6624866	6635586	+	10721	1033
ENSG00000007923	1	6634168	6701924	-	67757	3490
ENSG00000228750	1	6724637	6730012	+	5376	0
ENSG00000237436	1	6783892	6784843	-	952	30
ENSG00000171735	1	6785324	7769706	+	984383	12069
ENSG00000227950	1	6834333	6834618	-	286	0
ENSG00000237365	1	7008376	7014279	-	5904	0
ENSG00000207056	1	7219360	7219524	+	165	0
ENSG00000237402	1	7368942	7370270	+	1329	0
ENSG00000237728	1	7382487	7389754	-	7268	0
ENSG00000225126	1	7441096	7441554	-	459	0
ENSG00000270171	1	7693124	7694844	-	1721	0
ENSG00000270035	1	7698303	7698872	-	570	0
ENSG00000269978	1	7700704	7700970	-	267	0
ENSG00000049245	1	7771269	7781432	+	10164	6257
ENSG00000269925	1	7776383	7776775	+	393	0
ENSG00000049246	1	7784320	7845177	+	60858	2580
ENSG00000236266	1	7810242	7827342	-	17101	0
ENSG00000049247	1	7843083	7853512	-	10430	4
ENSG00000049249	1	7915894	7943165	-	27272	2
ENSG00000270330	1	7942372	7942726	+	355	0
ENSG00000116288	1	7954291	7985505	+	31215	16055
ENSG00000200344	1	7982881	7982983	-	103	0
ENSG00000116285	1	8004404	8026308	-	21905	2725
ENSG00000238290	1	8026738	8122702	+	95965	44
ENSG00000232848	1	8057245	8058463	-	1219	0
ENSG00000229305	1	8189824	8192770	+	2947	0
ENSG00000200975	1	8206434	8206597	-	164	0
ENSG00000227634	1	8208672	8215210	+	6539	0
ENSG00000233645	1	8218190	8220529	-	2340	0
ENSG00000251977	1	8292157	8292263	-	107	0
ENSG00000162426	1	8317826	8344167	+	26342	2451
ENSG00000252254	1	8328067	8328179	+	113	0
ENSG00000142599	1	8352397	8817643	-	465247	11822
ENSG00000232912	1	8424645	8434838	+	10194	0
ENSG00000221083	1	8511795	8511919	-	125	0
ENSG00000270282	1	8512653	8513021	+	369	0
ENSG00000234619	1	8750430	8751087	+	658	0
ENSG00000224315	1	8786211	8786913	-	703	0
ENSG00000222511	1	8796571	8796673	-	103	0
ENSG00000226545	1	8798475	8799506	+	1032	0
ENSG00000228423	1	8805860	8807051	-	1192	0
ENSG00000229716	1	8831007	8831375	+	369	0
ENSG00000074800	1	8861002	8879249	-	18248	78328
ENSG00000274258	1	8866502	8866590	-	89	0
ENSG00000236269	1	8875788	8878007	-	2220	0
ENSG00000230679	1	8878835	8879894	+	1060	4
ENSG00000201725	1	8883427	8883533	-	107	2
ENSG00000238249	1	8893409	8894151	+	743	2
ENSG00000232208	1	8907393	8907744	-	352	6
ENSG00000232663	1	8909742	8909904	+	163	0
ENSG00000131686	1	8945867	8975092	+	29226	2
ENSG00000265141	1	8979576	8979874	-	299	0
ENSG00000197241	1	9003300	9026345	-	23046	4
ENSG00000142583	1	9035107	9088478	-	53372	1058
ENSG00000252404	1	9082696	9082879	+	184	0
ENSG00000180758	1	9100305	9129170	-	28866	140
ENSG00000207865	1	9151668	9151777	-	110	0
ENSG00000228526	1	9182007	9202619	-	20613	77
ENSG00000234546	1	9182204	9192089	+	9886	0
ENSG00000049239	1	9234775	9271337	+	36563	3736
ENSG00000171621	1	9292880	9369532	+	76653	1202
ENSG00000252956	1	9437669	9437778	-	110	0
ENSG00000235263	1	9501092	9503471	-	2380	0
ENSG00000171612	1	9539482	9585179	+	45698	2192
ENSG00000231181	1	9576427	9576985	+	559	0
ENSG00000188807	1	9588922	9614873	+	25952	1833
ENSG00000171608	1	9651732	9729114	+	77383	1122
ENSG00000179840	1	9652610	9654586	-	1977	0
ENSG00000233268	1	9660828	9662626	-	1799	0
ENSG00000231789	1	9672426	9687555	-	15130	0
ENSG00000171603	1	9729026	9824526	-	95501	35790
ENSG00000271264	1	9780822	9781240	+	419	0
ENSG00000280113	1	9827610	9828258	-	649	4
ENSG00000178585	1	9848276	9910336	-	62061	897
ENSG00000223989	1	9848318	9850154	+	1837	0
ENSG00000162441	1	9922113	9943407	-	21295	3277
ENSG00000228150	1	9942923	9949974	+	7052	0
ENSG00000173614	1	9943428	9985501	+	42074	582
ENSG00000202415	1	9947318	9947636	+	319	0
ENSG00000265521	1	9967381	9967458	+	78	0
ENSG00000241326	1	9983141	9984568	+	1428	0
ENSG00000162444	1	9997206	10016020	+	18815	249
ENSG00000130939	1	10032832	10181239	+	148408	6728
ENSG00000224340	1	10054445	10054781	-	337	0
ENSG00000233623	1	10058671	10059648	+	978	0
ENSG00000201746	1	10163268	10163374	+	107	0
ENSG00000054523	1	10210805	10381603	+	170799	42052
ENSG00000264881	1	10227718	10227803	+	86	0
ENSG00000199562	1	10298966	10299072	+	107	0
ENSG00000264501	1	10306465	10306757	+	293	0
ENSG00000142657	1	10398592	10420144	+	21553	3913
ENSG00000271989	1	10429881	10430677	-	797	0
ENSG00000251503	1	10430102	10452153	+	22052	128
ENSG00000175279	1	10430443	10442809	+	12367	0
ENSG00000241563	1	10449719	10451902	+	2184	0
ENSG00000160049	1	10456522	10472526	-	16005	3865
ENSG00000203469	1	10458555	10459338	+	784	0
ENSG00000142655	1	10472288	10630758	+	158471	2797
ENSG00000243267	1	10616836	10617115	+	280	0
ENSG00000130940	1	10636604	10796650	-	160047	115
ENSG00000272078	1	10639241	10654333	+	15093	0
ENSG00000225158	1	10895761	10895998	+	238	0
ENSG00000175262	1	10946471	10982037	-	35567	63
ENSG00000215785	1	10990978	10991797	-	820	2
ENSG00000264181	1	10998176	10998263	-	88	0
ENSG00000120948	1	11012344	11026420	+	14077	3
ENSG00000277726	1	11012662	11030528	+	17867	6
ENSG00000009724	1	11026523	11047233	-	20711	11
ENSG00000271895	1	11029659	11030528	+	870	0
ENSG00000116649	1	11054584	11060024	-	5441	6501
ENSG00000171824	1	11066618	11099881	-	33264	3809
ENSG00000226849	1	11068471	11073097	+	4627	0
ENSG00000230337	1	11099675	11102100	+	2426	27
ENSG00000198793	1	11106535	11262507	-	155973	8701
ENSG00000225602	1	11143898	11149537	+	5640	0
ENSG00000253086	1	11152350	11152452	+	103	0
ENSG00000171819	1	11189341	11195981	+	6641	0
ENSG00000207451	1	11226254	11226360	+	107	0
ENSG00000238173	1	11232963	11233112	+	150	0
ENSG00000120942	1	11273206	11296049	+	22844	1409
ENSG00000238199	1	11278616	11279351	-	736	0
ENSG00000224338	1	11425257	11425821	-	565	0
ENSG00000204624	1	11479166	11537584	+	58419	2880
ENSG00000235643	1	11609531	11613355	+	3825	2
ENSG00000116661	1	11648367	11655785	-	7419	12602
ENSG00000132879	1	11654375	11663327	+	8953	16610
ENSG00000116663	1	11664124	11674354	+	10231	1008
ENSG00000116670	1	11674480	11691650	-	17171	1453
ENSG00000162490	1	11691729	11725857	+	34129	495
ENSG00000177674	1	11736084	11754802	+	18719	705
ENSG00000215910	1	11761787	11789585	+	27799	5
ENSG00000177553	1	11777077	11779619	-	2543	0
ENSG00000177000	1	11785723	11806920	-	21198	1444
ENSG00000011021	1	11806096	11843144	+	37049	3105
ENSG00000242349	1	11841017	11848079	+	7063	24
ENSG00000276470	1	11843812	11843984	+	173	0
ENSG00000278852	1	11845549	11845697	+	149	0
ENSG00000175206	1	11845709	11848345	-	2637	1
ENSG00000275915	1	11847442	11847549	+	108	0
ENSG00000120937	1	11857464	11858931	-	1468	282
ENSG00000224904	1	11877770	11880406	+	2637	8
ENSG00000199347	1	11908152	11908271	+	120	2
ENSG00000201801	1	11909808	11909927	-	120	1
ENSG00000116685	1	11919591	11926428	-	6838	2950
ENSG00000083444	1	11934205	11975538	+	41334	5262
ENSG00000116688	1	11980181	12013514	+	33334	16854
ENSG00000270914	1	12017216	12017308	-	93	0
ENSG00000116691	1	12019466	12032045	+	12580	1954
ENSG00000202461	1	12024012	12024124	-	113	0
ENSG00000276869	1	12029158	12029222	+	65	0
ENSG00000243539	1	12036740	12037014	-	275	0
ENSG00000120949	1	12063377	12144207	+	80831	621
ENSG00000201135	1	12077881	12077984	-	104	0
ENSG00000227875	1	12080293	12080547	-	255	0
ENSG00000275459	1	12166943	12167038	+	96	0
ENSG00000028137	1	12167003	12209228	+	42226	1199
ENSG00000263676	1	12191713	12191773	+	61	0
ENSG00000225196	1	12220794	12221109	-	316	0
ENSG00000252969	1	12221148	12221271	-	124	0
ENSG00000048707	1	12230067	12512047	+	281981	10197
ENSG00000239149	1	12507246	12507397	+	152	0
ENSG00000229484	1	12527724	12528420	+	697	7
ENSG00000162496	1	12567910	12617731	-	49822	2670
ENSG00000221340	1	12569972	12570072	-	101	0
ENSG00000276830	1	12578957	12579023	-	67	0
ENSG00000272482	1	12618900	12619244	-	345	12
ENSG00000204518	1	12644547	12667086	+	22540	0
ENSG00000226166	1	12692909	12693020	+	112	0
ENSG00000188984	1	12716115	12728759	+	12645	0
ENSG00000157330	1	12746215	12763699	+	17485	0
ENSG00000116726	1	12774841	12777906	+	3066	0
ENSG00000116721	1	12791397	12796628	+	5232	0
ENSG00000228338	1	12822686	12823159	-	474	0
ENSG00000239810	1	12824605	12831410	-	6806	0
ENSG00000279195	1	12824942	12828663	-	3722	0
ENSG00000231103	1	12838125	12841357	-	3233	0
ENSG00000179172	1	12847377	12947578	-	100202	5
ENSG00000120952	1	12857086	12861909	+	4824	0
ENSG00000243073	1	12879224	12886201	-	6978	0
ENSG00000187545	1	12892896	12898270	-	5375	0
ENSG00000204510	1	12916610	12920482	+	3873	0
ENSG00000207434	1	12922554	12922660	+	107	0
ENSG00000234064	1	12926162	12928253	+	2092	0
ENSG00000232423	1	12938472	13056491	-	118020	0
ENSG00000274178	1	13029339	13032130	+	2792	0
ENSG00000280267	1	13049476	13158092	-	108617	0
ENSG00000274764	1	13049476	13155947	-	106472	0
ENSG00000229571	1	13060853	13077884	+	17032	0
ENSG00000277058	1	13060869	13062229	+	1361	0
ENSG00000277862	1	13095179	13097971	-	2793	0
ENSG00000236179	1	13104403	13105689	-	1287	0
ENSG00000275774	1	13115496	13116854	-	1359	0
ENSG00000229978	1	13128818	13131615	+	2798	0
ENSG00000233336	1	13146981	13147460	-	480	0
ENSG00000179412	1	13164586	13165467	-	882	0
ENSG00000204505	1	13172455	13179464	+	7010	0
ENSG00000279169	1	13196823	13199589	-	2767	0
ENSG00000279804	1	13222695	13226133	-	3439	0
ENSG00000250894	1	13245863	13248652	+	2790	0
ENSG00000270601	1	13254198	13263435	+	9238	0
ENSG00000231219	1	13273539	13275627	-	2089	0
ENSG00000207511	1	13279125	13279231	-	107	0
ENSG00000182330	1	13281035	13285174	-	4140	0
ENSG00000204501	1	13303509	13322598	+	19090	0
ENSG00000237700	1	13305955	13308887	+	2933	0
ENSG00000228229	1	13324039	13324518	+	480	0
ENSG00000204481	1	13342034	13347134	-	5101	0
ENSG00000204480	1	13369067	13371693	-	2627	0
ENSG00000204479	1	13389632	13392629	+	2998	0
ENSG00000204478	1	13410450	13421328	+	10879	2
ENSG00000162494	1	13474977	13514048	-	39072	45
ENSG00000259961	1	13513220	13516270	+	3051	0
ENSG00000215909	1	13555001	13555694	+	694	2
ENSG00000162493	1	13583465	13617957	+	34493	664
ENSG00000222952	1	13623184	13623284	-	101	0
ENSG00000266358	1	13623902	13624002	-	101	0
ENSG00000237445	1	13657311	13659910	-	2600	2
ENSG00000253085	1	13696070	13696199	-	130	0
ENSG00000116731	1	13700198	13825079	+	124882	9227
ENSG00000252151	1	14124233	14124335	-	103	0
ENSG00000231606	1	14221891	14223118	-	1228	0
ENSG00000234593	1	14348955	14351023	-	2069	0
ENSG00000189337	1	14598704	15118043	+	519340	7086
ENSG00000235829	1	14692129	14692613	-	485	0
ENSG00000175147	1	15111815	15152464	-	40650	119
ENSG00000171729	1	15152532	15220480	+	67949	613
ENSG00000204464	1	15164344	15171317	-	6974	0
ENSG00000215720	1	15191828	15192845	-	1018	0
ENSG00000278480	1	15226373	15227549	+	1177	2
ENSG00000142621	1	15247272	15400283	+	153012	65
ENSG00000233485	1	15326680	15343876	-	17197	0
ENSG00000236045	1	15334166	15335464	-	1299	0
ENSG00000228140	1	15402979	15409433	-	6455	8
ENSG00000142634	1	15409895	15430343	+	20449	1423
ENSG00000162438	1	15438439	15449242	+	10804	27
ENSG00000142615	1	15456728	15472091	+	15364	86
ENSG00000215704	1	15465909	15491400	+	25492	334
ENSG00000132906	1	15490832	15526534	-	35703	2074
ENSG00000116138	1	15526813	15592379	+	65567	2572
ENSG00000251866	1	15542165	15542304	+	140	0
ENSG00000272510	1	15565611	15565956	-	346	0
ENSG00000116771	1	15572353	15585110	-	12758	0
ENSG00000237301	1	15586136	15603626	-	17491	48
ENSG00000235084	1	15604597	15605043	+	447	56
ENSG00000252417	1	15608078	15608145	-	68	0
ENSG00000236500	1	15614643	15614867	-	225	0
ENSG00000197312	1	15617500	15669044	+	51545	1860
ENSG00000215695	1	15659869	15661722	+	1854	0
ENSG00000271742	1	15682873	15683128	-	256	1
ENSG00000116786	1	15684332	15734769	+	50438	2253
ENSG00000264048	1	15684472	15684558	+	87	0
ENSG00000237938	1	15720312	15736896	-	16585	89
ENSG00000162461	1	15736405	15741396	+	4992	210
ENSG00000224459	1	15740051	15749896	-	9846	0
ENSG00000162460	1	15742422	15747982	+	5561	0
ENSG00000162458	1	15756607	15786594	+	29988	161
ENSG00000224321	1	15792796	15793285	+	490	0
ENSG00000233954	1	15807169	15809348	-	2180	638
ENSG00000178715	1	15828232	15828669	+	438	10
ENSG00000179743	1	15834479	15848147	-	13669	421
ENSG00000065526	1	15847864	15940460	+	92597	8546
ENSG00000270620	1	15917698	15917908	-	211	0
ENSG00000116809	1	15941869	15976132	-	34264	2810
ENSG00000234607	1	15969632	15970194	+	563	0
ENSG00000231353	1	15988182	15988441	+	260	0
ENSG00000275503	1	15989140	15989375	-	236	0
ENSG00000224966	1	15989871	15994751	+	4881	0
ENSG00000183888	1	16004236	16008807	+	4572	309
ENSG00000233078	1	16006160	16006671	-	512	0
ENSG00000173641	1	16014028	16019594	-	5567	192
ENSG00000186510	1	16018875	16034050	+	15176	21
ENSG00000232456	1	16035178	16040029	-	4852	55
ENSG00000184908	1	16043736	16057308	+	13573	9
ENSG00000185519	1	16057769	16073632	-	15864	391
ENSG00000142627	1	16124337	16156087	-	31751	512
